system,eligible,repetition,ordinal,query,latency_ns_e2e
qenlo_cuda_buffered_prototype,1000,1,27,14,83810
qenlo_cuda_buffered_prototype,1000,1,28,10,78153
qenlo_cuda_buffered_prototype,1000,1,29,1,77593
qenlo_cuda_buffered_prototype,1000,1,30,50,94146
qenlo_cuda_buffered_prototype,1000,1,31,22,77594
qenlo_cuda_buffered_prototype,1000,1,32,49,76127
qenlo_cuda_buffered_prototype,1000,1,33,91,75219
qenlo_cuda_buffered_prototype,1000,1,34,73,77664
qenlo_cuda_buffered_prototype,1000,1,35,99,84229
qenlo_cuda_buffered_prototype,1000,1,36,56,76197
qenlo_cuda_buffered_prototype,1000,1,37,3,76127
qenlo_cuda_buffered_prototype,1000,1,38,19,75709
qenlo_cuda_buffered_prototype,1000,1,39,59,76197
qenlo_cuda_buffered_prototype,1000,1,40,39,76686
qenlo_cuda_buffered_prototype,1000,1,41,37,74800
qenlo_cuda_buffered_prototype,1000,1,42,55,97499
qenlo_cuda_buffered_prototype,1000,1,43,8,78082
qenlo_cuda_buffered_prototype,1000,1,44,27,76267
qenlo_cuda_buffered_prototype,1000,1,45,61,76616
qenlo_cuda_buffered_prototype,1000,1,46,43,78991
qenlo_cuda_buffered_prototype,1000,1,47,96,78502
qenlo_cuda_buffered_prototype,1000,1,48,20,77035
qenlo_cuda_buffered_prototype,1000,1,49,48,78013
qenlo_cuda_buffered_prototype,1000,1,50,66,74800
qenlo_cuda_buffered_prototype,1000,1,51,78,76127
qenlo_cuda_buffered_prototype,1000,1,52,13,76617
qenlo_cuda_buffered_prototype,1000,1,53,28,75219
qenlo_cuda_buffered_prototype,1000,1,54,53,99874
qenlo_cuda_buffered_prototype,1000,1,55,93,78083
qenlo_cuda_buffered_prototype,1000,1,56,74,74731
qenlo_cuda_buffered_prototype,1000,1,57,29,73823
qenlo_cuda_buffered_prototype,1000,1,58,11,76686
qenlo_cuda_buffered_prototype,1000,1,59,32,77594
qenlo_cuda_buffered_prototype,1000,1,60,15,74730
qenlo_cuda_buffered_prototype,1000,1,61,97,77594
qenlo_cuda_buffered_prototype,1000,1,62,47,74730
qenlo_cuda_buffered_prototype,1000,1,63,65,77105
qenlo_cuda_buffered_prototype,1000,1,64,90,76616
qenlo_cuda_buffered_prototype,1000,1,65,89,77525
qenlo_cuda_buffered_prototype,1000,1,66,87,109372
qenlo_cuda_buffered_prototype,1000,1,67,72,79060
qenlo_cuda_buffered_prototype,1000,1,68,16,77175
qenlo_cuda_buffered_prototype,1000,1,69,75,78153
qenlo_cuda_buffered_prototype,1000,1,70,45,76617
qenlo_cuda_buffered_prototype,1000,1,71,94,75708
qenlo_cuda_buffered_prototype,1000,1,72,83,77036
qenlo_cuda_buffered_prototype,1000,1,73,80,77175
qenlo_cuda_buffered_prototype,1000,1,74,44,77664
qenlo_cuda_buffered_prototype,1000,1,75,34,85276
qenlo_cuda_buffered_prototype,1000,1,76,7,75708
qenlo_cuda_buffered_prototype,1000,1,77,79,77525
qenlo_cuda_buffered_prototype,1000,1,78,0,105041
qenlo_cuda_buffered_prototype,1000,1,79,98,75289
qenlo_cuda_buffered_prototype,1000,1,80,92,74801
qenlo_cuda_buffered_prototype,1000,1,81,35,85207
qenlo_cuda_buffered_prototype,1000,1,82,25,78083
qenlo_cuda_buffered_prototype,1000,1,83,71,74730
qenlo_cuda_buffered_prototype,1000,1,84,58,75289
qenlo_cuda_buffered_prototype,1000,1,85,77,85137
qenlo_cuda_buffered_prototype,1000,1,86,88,78990
qenlo_cuda_buffered_prototype,1000,1,87,18,78013
qenlo_cuda_buffered_prototype,1000,1,88,68,77524
qenlo_cuda_buffered_prototype,1000,1,89,95,95544
qenlo_cuda_buffered_prototype,1000,1,90,5,76616
qenlo_cuda_buffered_prototype,1000,1,91,26,74312
qenlo_cuda_buffered_prototype,1000,1,92,54,75639
qenlo_cuda_buffered_prototype,1000,1,93,23,77524
qenlo_cuda_buffered_prototype,1000,1,94,21,77035
qenlo_cuda_buffered_prototype,1000,1,95,60,75289
qenlo_cuda_buffered_prototype,1000,1,96,82,77664
qenlo_cuda_buffered_prototype,1000,1,97,36,85206
qenlo_cuda_buffered_prototype,1000,1,98,42,76546
qenlo_cuda_buffered_prototype,1000,1,99,57,78013
qenlo_cuda_buffered_prototype,1000,2,0,95,87023
qenlo_cuda_buffered_prototype,1000,2,1,52,98476
qenlo_cuda_buffered_prototype,1000,2,2,99,79480
qenlo_cuda_buffered_prototype,1000,2,3,78,76616
qenlo_cuda_buffered_prototype,1000,2,4,97,77036
qenlo_cuda_buffered_prototype,1000,2,5,0,76128
qenlo_cuda_buffered_prototype,1000,2,6,64,76127
qenlo_cuda_buffered_prototype,1000,2,7,86,77525
qenlo_cuda_buffered_prototype,1000,2,8,74,74800
qenlo_cuda_buffered_prototype,1000,2,9,71,77524
qenlo_cuda_buffered_prototype,1000,2,10,68,74242
qenlo_cuda_buffered_prototype,1000,2,11,25,77664
qenlo_cuda_buffered_prototype,1000,2,12,41,76197
qenlo_cuda_buffered_prototype,1000,2,13,20,91283
qenlo_cuda_buffered_prototype,1000,2,14,44,76616
qenlo_cuda_buffered_prototype,1000,2,15,30,73823
qenlo_cuda_buffered_prototype,1000,2,16,76,75150
qenlo_cuda_buffered_prototype,1000,2,17,80,77105
qenlo_cuda_buffered_prototype,1000,2,18,16,73822
qenlo_cuda_buffered_prototype,1000,2,19,94,74312
qenlo_cuda_buffered_prototype,1000,2,20,91,72844
qenlo_cuda_buffered_prototype,1000,2,21,55,75219
qenlo_cuda_buffered_prototype,1000,2,22,8,73334
qenlo_cuda_buffered_prototype,1000,2,23,62,73823
qenlo_cuda_buffered_prototype,1000,2,24,56,79480
qenlo_cuda_buffered_prototype,1000,2,25,87,468008
qenlo_cuda_buffered_prototype,1000,2,26,23,108883
qenlo_cuda_buffered_prototype,1000,2,27,34,86603
qenlo_cuda_buffered_prototype,1000,2,28,85,76197
qenlo_cuda_buffered_prototype,1000,2,29,59,76197
qenlo_cuda_buffered_prototype,1000,2,30,17,75219
qenlo_cuda_buffered_prototype,1000,2,31,50,75219
qenlo_cuda_buffered_prototype,1000,2,32,35,96032
qenlo_cuda_buffered_prototype,1000,2,33,33,81296
qenlo_cuda_buffered_prototype,1000,2,34,92,77524
qenlo_cuda_buffered_prototype,1000,2,35,57,77105
qenlo_cuda_buffered_prototype,1000,2,36,60,77035
qenlo_cuda_buffered_prototype,1000,2,37,10,75220
qenlo_cuda_buffered_prototype,1000,2,38,61,75219
qenlo_cuda_buffered_prototype,1000,2,39,12,76616
qenlo_cuda_buffered_prototype,1000,2,40,5,75778
qenlo_cuda_buffered_prototype,1000,2,41,84,77245
qenlo_cuda_buffered_prototype,1000,2,42,73,77175
qenlo_cuda_buffered_prototype,1000,2,43,82,78082
qenlo_cuda_buffered_prototype,1000,2,44,7,95962
qenlo_cuda_buffered_prototype,1000,2,45,89,79410
qenlo_cuda_buffered_prototype,1000,2,46,98,77525
qenlo_cuda_buffered_prototype,1000,2,47,93,77524
qenlo_cuda_buffered_prototype,1000,2,48,79,73753
qenlo_cuda_buffered_prototype,1000,2,49,47,77594
qenlo_cuda_buffered_prototype,1000,2,50,18,81854
qenlo_cuda_buffered_prototype,1000,2,51,70,77594
qenlo_cuda_buffered_prototype,1000,2,52,15,77175
qenlo_cuda_buffered_prototype,1000,2,53,81,75778
qenlo_cuda_buffered_prototype,1000,2,54,36,85137
qenlo_cuda_buffered_prototype,1000,2,55,6,76127
qenlo_cuda_buffered_prototype,1000,2,56,90,94077
qenlo_cuda_buffered_prototype,1000,2,57,66,84229
qenlo_cuda_buffered_prototype,1000,2,58,31,78013
qenlo_cuda_buffered_prototype,1000,2,59,14,77524
qenlo_cuda_buffered_prototype,1000,2,60,37,77035
qenlo_cuda_buffered_prototype,1000,2,61,54,77525
qenlo_cuda_buffered_prototype,1000,2,62,26,74800
qenlo_cuda_buffered_prototype,1000,2,63,32,80388
qenlo_cuda_buffered_prototype,1000,2,64,3,74730
qenlo_cuda_buffered_prototype,1000,2,65,65,77664
qenlo_cuda_buffered_prototype,1000,2,66,22,77664
qenlo_cuda_buffered_prototype,1000,2,67,40,74311
qenlo_cuda_buffered_prototype,1000,2,68,27,94985
qenlo_cuda_buffered_prototype,1000,2,69,67,87022
qenlo_cuda_buffered_prototype,1000,2,70,21,77035
qenlo_cuda_buffered_prototype,1000,2,71,28,77105
qenlo_cuda_buffered_prototype,1000,2,72,11,77106
qenlo_cuda_buffered_prototype,1000,2,73,4,76686
qenlo_cuda_buffered_prototype,1000,2,74,13,77175
qenlo_cuda_buffered_prototype,1000,2,75,69,74730
qenlo_cuda_buffered_prototype,1000,2,76,83,77524
qenlo_cuda_buffered_prototype,1000,2,77,9,84648
qenlo_cuda_buffered_prototype,1000,2,78,39,77594
qenlo_cuda_buffered_prototype,1000,2,79,96,77594
qenlo_cuda_buffered_prototype,1000,2,80,42,104204
qenlo_cuda_buffered_prototype,1000,2,81,43,76267
qenlo_cuda_buffered_prototype,1000,2,82,1,77175
qenlo_cuda_buffered_prototype,1000,2,83,38,87442
qenlo_cuda_buffered_prototype,1000,2,84,88,77524
qenlo_cuda_buffered_prototype,1000,2,85,72,77105
qenlo_cuda_buffered_prototype,1000,2,86,2,77105
qenlo_cuda_buffered_prototype,1000,2,87,58,76686
qenlo_cuda_buffered_prototype,1000,2,88,75,76686
qenlo_cuda_buffered_prototype,1000,2,89,24,77594
qenlo_cuda_buffered_prototype,1000,2,90,19,77524
qenlo_cuda_buffered_prototype,1000,2,91,46,73822
qenlo_cuda_buffered_prototype,1000,2,92,77,98406
qenlo_cuda_buffered_prototype,1000,2,93,48,86534
qenlo_cuda_buffered_prototype,1000,2,94,53,78014
qenlo_cuda_buffered_prototype,1000,2,95,45,77035
qenlo_cuda_buffered_prototype,1000,2,96,49,77524
qenlo_cuda_buffered_prototype,1000,2,97,29,74312
qenlo_cuda_buffered_prototype,1000,2,98,63,75708
qenlo_cuda_buffered_prototype,1000,2,99,51,72914
