run,batch_index,query_indices,query_count,batch_latency_ns,recall_at_10,result_ids
1,12,59,1,58169675,1.0,"[[""10065"", ""24333"", ""4465"", ""12794"", ""5657"", ""34971"", ""36329"", ""6025"", ""842"", ""32558""]]"
1,13,54,1,59581134,1.0,"[[""13989"", ""6887"", ""18366"", ""33554"", ""24333"", ""2259"", ""1137"", ""48969"", ""15373"", ""23389""]]"
1,14,2,1,61987133,1.0,"[[""32558"", ""6025"", ""12192"", ""43814"", ""6313"", ""19174"", ""24136"", ""1137"", ""10065"", ""31414""]]"
1,15,34,1,62006262,1.0,"[[""2259"", ""12794"", ""2489"", ""29753"", ""3983"", ""10065"", ""12192"", ""47674"", ""18366"", ""15373""]]"
1,16,0,1,65246755,1.0,"[[""48969"", ""4407"", ""1137"", ""32558"", ""4465"", ""43814"", ""7911"", ""34971"", ""16761"", ""43202""]]"
1,17,50,1,62174575,1.0,"[[""7911"", ""4407"", ""36329"", ""5905"", ""48969"", ""19174"", ""43814"", ""39450"", ""47674"", ""12794""]]"
1,18,29,1,60261435,1.0,"[[""46062"", ""47674"", ""2489"", ""6313"", ""36329"", ""12192"", ""16761"", ""39450"", ""10065"", ""20401""]]"
1,19,13,1,63238712,1.0,"[[""19174"", ""6025"", ""33554"", ""23159"", ""18366"", ""46062"", ""5657"", ""18493"", ""47455"", ""1007""]]"
1,20,52,1,59457608,1.0,"[[""32465"", ""2259"", ""6887"", ""36329"", ""48969"", ""10065"", ""29753"", ""1137"", ""47644"", ""4407""]]"
1,21,55,1,63371230,1.0,"[[""19174"", ""34971"", ""18493"", ""24136"", ""4407"", ""6025"", ""5657"", ""842"", ""32558"", ""47455""]]"
1,22,18,1,60439612,1.0,"[[""9281"", ""7911"", ""32465"", ""4465"", ""18366"", ""8791"", ""47455"", ""43202"", ""31414"", ""36488""]]"
1,23,31,1,60248064,1.0,"[[""41950"", ""43202"", ""33554"", ""47644"", ""23159"", ""48969"", ""6313"", ""5657"", ""6887"", ""10065""]]"
1,24,12,1,60227764,1.0,"[[""3983"", ""5905"", ""2259"", ""20401"", ""4407"", ""8791"", ""2489"", ""15373"", ""9281"", ""5657""]]"
1,25,7,1,61917750,1.0,"[[""32465"", ""2259"", ""31414"", ""24333"", ""4407"", ""47644"", ""15373"", ""39450"", ""24507"", ""8791""]]"
1,26,40,1,61451550,1.0,"[[""43814"", ""24136"", ""6025"", ""33554"", ""18493"", ""32558"", ""12192"", ""2489"", ""1007"", ""3983""]]"
1,27,35,1,58100441,1.0,"[[""13989"", ""1007"", ""41950"", ""3983"", ""6887"", ""12192"", ""2489"", ""23389"", ""29753"", ""6025""]]"
1,28,22,1,65070380,1.0,"[[""2259"", ""4407"", ""6887"", ""29753"", ""24136"", ""31414"", ""43202"", ""47644"", ""36488"", ""10065""]]"
1,29,27,1,64596839,1.0,"[[""18366"", ""24136"", ""842"", ""33554"", ""6019"", ""7911"", ""47455"", ""24507"", ""2259"", ""43202""]]"
1,30,6,1,64356900,1.0,"[[""5657"", ""48969"", ""6025"", ""31414"", ""32558"", ""33554"", ""7911"", ""5905"", ""18493"", ""47674""]]"
1,31,57,1,61866202,1.0,"[[""4407"", ""8791"", ""5905"", ""23159"", ""24333"", ""16449"", ""32558"", ""19174"", ""12192"", ""9281""]]"
1,32,8,1,63371611,1.0,"[[""48969"", ""2489"", ""36329"", ""32558"", ""12192"", ""1007"", ""24136"", ""24507"", ""39450"", ""6025""]]"
1,33,42,1,62703259,1.0,"[[""4407"", ""1137"", ""43202"", ""39450"", ""47644"", ""6019"", ""32558"", ""24333"", ""16449"", ""6887""]]"
1,34,1,1,61674264,1.0,"[[""6019"", ""1007"", ""10065"", ""20401"", ""34971"", ""18366"", ""47644"", ""31414"", ""842"", ""4465""]]"
1,35,61,1,61019482,1.0,"[[""31414"", ""23159"", ""2259"", ""8791"", ""20401"", ""29753"", ""15373"", ""32465"", ""4407"", ""6313""]]"
1,36,62,1,63286503,1.0,"[[""48969"", ""9281"", ""5905"", ""47674"", ""32465"", ""18493"", ""12794"", ""4465"", ""19174"", ""2259""]]"
1,37,11,1,67692755,1.0,"[[""6887"", ""39450"", ""24507"", ""47674"", ""1007"", ""15373"", ""46062"", ""842"", ""16449"", ""32465""]]"
1,38,20,1,61427553,1.0,"[[""6887"", ""4465"", ""47455"", ""23389"", ""12794"", ""2259"", ""15373"", ""7911"", ""24333"", ""41950""]]"
1,39,45,1,63917891,1.0,"[[""31414"", ""12192"", ""7911"", ""13989"", ""842"", ""19174"", ""20401"", ""24333"", ""8791"", ""43814""]]"
1,40,5,1,62013493,1.0,"[[""1137"", ""2259"", ""24136"", ""3983"", ""31414"", ""43814"", ""29753"", ""2489"", ""20401"", ""47644""]]"
1,41,46,1,63765652,1.0,"[[""13989"", ""1137"", ""47674"", ""6019"", ""1007"", ""33554"", ""36329"", ""31414"", ""10065"", ""43814""]]"
1,42,56,1,61417879,1.0,"[[""19174"", ""9281"", ""23389"", ""15373"", ""8791"", ""12794"", ""13989"", ""6887"", ""46062"", ""47644""]]"
1,43,41,1,64154817,1.0,"[[""36488"", ""32465"", ""8791"", ""7911"", ""6887"", ""6025"", ""842"", ""47455"", ""1007"", ""33554""]]"
1,44,44,1,63120684,1.0,"[[""15373"", ""4465"", ""10065"", ""29753"", ""20401"", ""5905"", ""32558"", ""6025"", ""18493"", ""47674""]]"
1,45,58,1,60084198,1.0,"[[""18366"", ""46062"", ""2259"", ""9281"", ""1007"", ""19174"", ""4407"", ""6019"", ""24136"", ""6025""]]"
1,46,43,1,61674685,1.0,"[[""36488"", ""6019"", ""23159"", ""29753"", ""5905"", ""6887"", ""39450"", ""33554"", ""41950"", ""43202""]]"
1,47,51,1,60549196,1.0,"[[""29753"", ""32465"", ""12192"", ""43202"", ""31414"", ""23159"", ""20401"", ""47674"", ""47644"", ""1007""]]"
1,48,48,1,60552802,1.0,"[[""5657"", ""48969"", ""24333"", ""12794"", ""32465"", ""19174"", ""47674"", ""2489"", ""41950"", ""23389""]]"
1,49,9,1,59759120,1.0,"[[""7911"", ""43202"", ""1137"", ""31414"", ""6887"", ""12794"", ""19174"", ""6313"", ""4465"", ""2259""]]"
1,50,19,1,59711509,1.0,"[[""47674"", ""10065"", ""13989"", ""31414"", ""41950"", ""19174"", ""34971"", ""5905"", ""18366"", ""842""]]"
1,51,60,1,58334112,1.0,"[[""4407"", ""18366"", ""47455"", ""10065"", ""6887"", ""3983"", ""1137"", ""15373"", ""41950"", ""43202""]]"
1,52,23,1,59478369,1.0,"[[""13989"", ""7911"", ""43814"", ""16761"", ""23159"", ""16449"", ""6313"", ""10065"", ""9281"", ""23389""]]"
1,53,39,1,59042475,1.0,"[[""9281"", ""6887"", ""6025"", ""10065"", ""16449"", ""13989"", ""46062"", ""19174"", ""8791"", ""15373""]]"
1,54,28,1,62078441,1.0,"[[""842"", ""15373"", ""31414"", ""12794"", ""1007"", ""39450"", ""13989"", ""5905"", ""47674"", ""29753""]]"
1,55,33,1,59688855,1.0,"[[""24507"", ""2489"", ""5657"", ""32465"", ""47674"", ""2259"", ""31414"", ""5905"", ""1007"", ""6025""]]"
1,56,37,1,59743988,1.0,"[[""6025"", ""12192"", ""47455"", ""4407"", ""36488"", ""10065"", ""12794"", ""2489"", ""1007"", ""43202""]]"
1,57,47,1,63659844,1.0,"[[""16761"", ""23389"", ""48969"", ""20401"", ""2489"", ""24333"", ""2259"", ""15373"", ""5905"", ""18366""]]"
1,58,25,1,60270217,1.0,"[[""33554"", ""47674"", ""31414"", ""18493"", ""29753"", ""9281"", ""12794"", ""10065"", ""39450"", ""36329""]]"
