host,engine,E,metric,n,ratio,lo,hi
"RTX 4090 pods, Linux",gpu-predicate,10000,p50,5,1.0694572354829863,1.0684574116717394,1.371370583998023
"RTX 4090 pods, Linux",gpu-predicate,10000,p95,5,1.0762216248330874,1.0687512553063676,1.253382730005587
"RTX 4090 pods, Linux",gpu-predicate,10000,sel,5,1.0011884388667047,0.9993270201413258,1.0060067051592476
"RTX 4090 pods, Linux",gpu-predicate,10000,score,5,1.0,0.9979939819458374,1.0104662226450998
"RTX 4090 pods, Linux",gpu-predicate,30000,p50,5,1.0661300748633915,1.0327749627232437,1.1592564794508515
"RTX 4090 pods, Linux",gpu-predicate,30000,p95,5,1.0949383820270264,1.0114546047204909,1.1700308127952515
"RTX 4090 pods, Linux",gpu-predicate,30000,sel,5,1.0032410135533294,0.9997086105580106,1.0040854320732275
"RTX 4090 pods, Linux",gpu-predicate,30000,score,5,1.0340236686390534,1.029367469879518,1.0930064888248017
"H100 SXM, Linux",gpu-rows,1000,p50,3,1.2396548022440654,1.2059848062071326,1.2455639385413604
"H100 SXM, Linux",gpu-rows,1000,p95,3,2.3876364954336458,2.307759253255064,2.429494035544956
"H100 SXM, Linux",gpu-rows,1000,sel,3,0.8633744855967079,0.8607491856677525,0.8803986710963455
"H100 SXM, Linux",gpu-rows,1000,score,3,0.9314641744548287,0.9246987951807228,0.9684542586750787
"H100 SXM, Linux",gpu-rows,1000,mat,3,1.482682285661578,1.4514572205041703,1.50668269897794
"H100 SXM, Linux",gpu-rows,3000,p50,3,1.0986270954963302,1.0298727437820128,1.1739700282626957
"H100 SXM, Linux",gpu-rows,3000,p95,3,1.7223766075370912,1.493116559590927,2.0007190722861243
"H100 SXM, Linux",gpu-rows,3000,sel,3,0.7116689280868386,0.6464428703418541,0.7676030645749726
"H100 SXM, Linux",gpu-rows,3000,score,3,0.7958115183246074,0.7166276346604216,0.8622589531680441
"H100 SXM, Linux",gpu-rows,3000,mat,3,1.4049697450649736,1.2993197278911566,1.5038848941189764
"H100 SXM, Linux",gpu-rows,10000,p50,3,1.1818837804194082,1.1405864411371347,1.479052943110819
"H100 SXM, Linux",gpu-rows,10000,p95,3,0.7371722735788768,0.7343688598749205,1.137807033135561
"H100 SXM, Linux",gpu-rows,10000,sel,3,0.8067489454772693,0.7993181465984813,0.8764445955132563
"H100 SXM, Linux",gpu-rows,10000,score,3,0.8279352226720649,0.8243512974051895,0.8920704845814978
"H100 SXM, Linux",gpu-rows,10000,mat,3,1.0005176542609697,0.9847436786750772,1.568379816672196
"H100 SXM, Linux",gpu-predicate,1000,p50,3,1.2646626663016183,1.257049176248071,1.2783358153064057
"H100 SXM, Linux",gpu-predicate,1000,p95,3,1.2810257022751137,1.2239296965917785,1.286038304305654
"H100 SXM, Linux",gpu-predicate,1000,sel,3,1.3592453319502076,1.354910858995138,1.3620223474606639
"H100 SXM, Linux",gpu-predicate,1000,score,3,1.0022779043280183,0.9908883826879271,1.0034285714285713
"H100 SXM, Linux",gpu-predicate,3000,p50,3,1.2672277479046783,1.2614620815514648,1.2765476626164554
"H100 SXM, Linux",gpu-predicate,3000,p95,3,1.2660784902956896,1.2533843335259123,1.2961667718140348
"H100 SXM, Linux",gpu-predicate,3000,sel,3,1.3532613978808206,1.3524247627069228,1.354801088505896
"H100 SXM, Linux",gpu-predicate,3000,score,3,0.9968487394957982,0.9915700737618546,1.005324813631523
"H100 SXM, Linux",gpu-predicate,10000,p50,3,1.2493892002965725,1.194643965328157,1.2591564175386
"H100 SXM, Linux",gpu-predicate,10000,p95,3,1.2688414138917334,1.2424342136463227,1.300862450243255
"H100 SXM, Linux",gpu-predicate,10000,sel,3,1.361048321048321,1.3587341108635826,1.3680935133355285
"H100 SXM, Linux",gpu-predicate,10000,score,3,1.0218671152228764,1.01673640167364,1.0259414225941423
