experiment,batch,eligible,fraction,block,engine,n_repetitions,p50_ns,p95_ns,p50_spread_ratio,p95_spread_ratio,p50_min_ns,p50_max_ns,p95_min_ns,p95_max_ns,evaluation_recall_at_10,tuning_recall_at_10,filter_violations,process_returncode,started_unix,path
e2,16,1000,0.01,0,cpu,3,1751809,1777998,1.0010116658612185,1.5145448739651852,1750578,1752349,1766258,2675077,1,1,0,0,1790264255.5332034,e2/b16-e1000/block-00/cpu/summary.txt
e2,16,1000,0.01,0,gpu-mask,3,1442159,1628918,1.019503114624329,1.0661975479586223,1430028,1457918,1532519,1633968,1,1,0,0,1790264217.6778412,e2/b16-e1000/block-00/gpu-mask/summary.txt
e2,16,1000,0.01,0,gpu-predicate,3,1458618,1502418,1.0673628666219628,1.1509979075915362,1367519,1459639,1494928,1720659,1,1,0,0,1790264179.8094554,e2/b16-e1000/block-00/gpu-predicate/summary.txt
e2,16,1000,0.01,0,gpu-rows,3,249979,261440,1.0069525378772657,1.0154106465796593,248830,250560,257679,261650,1,1,0,0,1790264291.618554,e2/b16-e1000/block-00/gpu-rows/summary.txt
e2,16,1000,0.01,1,cpu,3,1794569,1864408,1.0025905607559078,1.0120505605575532,1791118,1795758,1857258,1879639,1,1,0,0,1790264402.415135,e2/b16-e1000/block-01/cpu/summary.txt
e2,16,1000,0.01,1,gpu-mask,3,1457878,1641719,1.0125649910353622,1.1020614625826946,1448469,1466669,1497529,1650369,1,1,0,0,1790264364.6646924,e2/b16-e1000/block-01/gpu-mask/summary.txt
e2,16,1000,0.01,1,gpu-predicate,3,1447669,1490349,1.1012742465319916,1.1000341820281518,1320859,1454628,1468608,1615519,1,1,0,0,1790264326.8681557,e2/b16-e1000/block-01/gpu-predicate/summary.txt
e2,16,1000,0.01,1,gpu-rows,3,248300,299520,1.182957900270959,1.1653413901932106,247270,292510,259820,302779,1,1,0,0,1790264438.4858391,e2/b16-e1000/block-01/gpu-rows/summary.txt
e2,16,1000,0.01,2,cpu,3,1752919,2637408,1.0251321749231515,1.1375924364567052,1742388,1786178,2400568,2730868,1,1,0,0,1790264549.405307,e2/b16-e1000/block-02/cpu/summary.txt
e2,16,1000,0.01,2,gpu-mask,3,1483989,1606138,1.031408913111487,1.0652288552464055,1441629,1486909,1560659,1662459,1,1,0,0,1790264511.5039833,e2/b16-e1000/block-02/gpu-mask/summary.txt
e2,16,1000,0.01,2,gpu-predicate,3,1458858,1501768,1.0034526570701563,1.0177351361154965,1456849,1461879,1494209,1520709,1,1,0,0,1790264473.7175555,e2/b16-e1000/block-02/gpu-predicate/summary.txt
e2,16,1000,0.01,2,gpu-rows,3,254170,316330,1.2206198709266194,1.2099638714584522,251020,306400,262950,318160,1,1,0,0,1790264585.4975774,e2/b16-e1000/block-02/gpu-rows/summary.txt
e2,16,1000,0.01,3,cpu,3,1728219,1842178,1.0040749086628378,1.020055044815248,1722738,1729758,1806528,1842758,1,1,0,0,1790264620.7576287,e2/b16-e1000/block-03/cpu/summary.txt
e2,16,1000,0.01,3,gpu-mask,3,1461629,1492639,1.0097602485700627,1.003501277003406,1456008,1470219,1490599,1495818,1,1,0,0,1790264729.8046544,e2/b16-e1000/block-03/gpu-mask/summary.txt
e2,16,1000,0.01,3,gpu-predicate,3,1414419,1505178,1.08186129784974,1.112009054864507,1382949,1496159,1470149,1634819,1,1,0,0,1790264691.962347,e2/b16-e1000/block-03/gpu-predicate/summary.txt
e2,16,1000,0.01,3,gpu-rows,3,255830,268290,1.0183941812797561,1.0339568777702652,253939,258610,266220,275260,1,1,0,0,1790264656.7513304,e2/b16-e1000/block-03/gpu-rows/summary.txt
e2,16,1000,0.01,4,cpu,3,1747208,1770899,1.0005380535512107,1.0227693427003834,1747038,1747978,1770319,1810628,1,1,0,0,1790264878.1680622,e2/b16-e1000/block-04/cpu/summary.txt
e2,16,1000,0.01,4,gpu-mask,3,1353108,1477229,1.1021740736143717,1.192273387791116,1313249,1447429,1357749,1618808,1,1,0,0,1790264840.6263473,e2/b16-e1000/block-04/gpu-mask/summary.txt
e2,16,1000,0.01,4,gpu-predicate,3,1460239,1582318,1.0027764082780715,1.0972000065855378,1458359,1462408,1579218,1732718,1,1,0,0,1790264767.610911,e2/b16-e1000/block-04/gpu-predicate/summary.txt
e2,16,1000,0.01,4,gpu-rows,3,251910,267990,1.2099125364431487,1.2298100454492484,246960,298800,257430,316590,1,1,0,0,1790264805.4047704,e2/b16-e1000/block-04/gpu-rows/summary.txt
