batch,eligible,fraction,metric,left,right,n_paired_blocks,median_log_left_over_right,ci95_low_log,ci95_high_log,median_left_over_right,ci95_low_ratio,ci95_high_ratio,e0_conservative_log_band,left_advantage_exceeds_e0_band,right_advantage_exceeds_e0_band
1,30000,0.3,p95_ns,gpu-predicate,gpu-mask,5,0.004728056226870764,-0.09813709214755761,0.09124312434006099,1.0047392511211224,0.9065246178281314,1.095535324185553,0.6881421068218078,False,False
1,30000,0.3,p50_ns,gpu-rows,cpu,5,-0.8014530953843605,-1.0356574946214496,-0.7645249817405887,0.44867652041966827,0.3549928982553073,0.4655550255960837,0.6607423283170152,True,False
1,30000,0.3,p95_ns,gpu-rows,cpu,5,-0.8048980915223704,-0.8596818264390902,-0.5427657189691321,0.44713349093097715,0.42329674272587664,0.5811387612042431,0.6881421068218078,False,False
1,30000,0.3,p50_ns,gpu-predicate,cpu,5,-0.8069623410990298,-0.8392714150935864,-0.8020813060306021,0.4462114478025932,0.4320251758119594,0.44839474556906933,0.6607423283170152,True,False
1,30000,0.3,p95_ns,gpu-predicate,cpu,5,-0.8220456772280048,-0.8848438130130747,-0.6619217250818604,0.43953159442996514,0.4127786388964497,0.5158590420806012,0.6881421068218078,False,False
1,30000,0.3,p50_ns,gpu-mask,cpu,5,-1.00492167470093,-1.2652726393471814,-0.7835870356926682,0.3660733064823536,0.2821623570918572,0.45676463817288143,0.6607423283170152,True,False
1,30000,0.3,p95_ns,gpu-mask,cpu,5,-0.7867067208655172,-0.8878815005150118,-0.7531648494219215,0.45534189671030934,0.4115266489238862,0.470873946911847,0.6881421068218078,True,False
1,100000,1.0,p50_ns,gpu-rows,gpu-predicate,5,0.5084143741411303,0.27407646491751975,0.5158385486434683,1.6626527585039552,1.3153153738751504,1.6750425176784032,0.6607423283170152,False,False
1,100000,1.0,p95_ns,gpu-rows,gpu-predicate,5,0.5145479506738493,0.4466718410395061,0.5857978799431673,1.6728821056176444,1.5631012694256277,1.7964237444542597,0.6881421068218078,False,False
1,100000,1.0,p50_ns,gpu-rows,gpu-mask,5,0.4147512917705305,0.16346257758726246,0.4156518066222828,1.513994151058782,1.1775812864299149,1.5153581393309503,0.6607423283170152,False,False
1,100000,1.0,p95_ns,gpu-rows,gpu-mask,5,0.35185164383237527,0.34411730799487006,0.49498962883816305,1.421697590466297,1.410744117364999,1.64048122527254,0.6881421068218078,False,False
1,100000,1.0,p50_ns,gpu-predicate,gpu-mask,5,-0.0958345295709544,-0.11061388733025741,-0.09310719151005183,0.9086143524369862,0.8952843628372967,0.9110958333235231,0.6607423283170152,False,False
1,100000,1.0,p95_ns,gpu-predicate,gpu-mask,5,-0.13097276858514906,-0.170430642678979,-0.0908082511050044,0.877241662597426,0.8433015767385107,0.9131927978222677,0.6881421068218078,False,False
1,100000,1.0,p50_ns,gpu-rows,cpu,5,-1.5080708871267259,-1.7458065901446183,-1.5006450105380602,0.22133654956178944,0.17450417883556943,0.22298628524917624,0.6607423283170152,True,False
1,100000,1.0,p95_ns,gpu-rows,cpu,5,-1.5044405443064004,-1.5598714079752867,-1.4012993142915111,0.22214153742221265,0.21016309476109568,0.24627676504666118,0.6881421068218078,True,False
1,100000,1.0,p50_ns,gpu-predicate,cpu,5,-2.0186371611942264,-2.0239094357701943,-2.0090593846791904,0.1328363763441754,0.13213786947244793,0.13411476576132347,0.6607423283170152,True,False
1,100000,1.0,p95_ns,gpu-predicate,cpu,5,-2.0065432490147925,-2.056042566489417,-1.959831436896419,0.13445264159904471,0.12795935987036428,0.1408821664548952,0.6881421068218078,True,False
