batch,eligible,fraction,metric,left,right,n_paired_blocks,median_log_left_over_right,ci95_low_log,ci95_high_log,median_left_over_right,ci95_low_ratio,ci95_high_ratio,e0_conservative_log_band,left_advantage_exceeds_e0_band,right_advantage_exceeds_e0_band
1,100000,1.0,p50_ns,gpu-mask,cpu,5,-1.9215754644511247,-1.9228221788972564,-1.9092691677318807,0.1463761699234224,0.14619379434656474,0.148188648075935,0.6607423283170152,True,False
1,100000,1.0,p95_ns,gpu-mask,cpu,5,-1.885611923810438,-1.932789753889573,-1.810391140535943,0.15173618003330455,0.14474383503184987,0.16359013755309212,0.6881421068218078,True,False
16,100,0.001,p50_ns,gpu-rows,gpu-predicate,5,-1.8125762086370518,-1.9303417362537385,-1.788675746812006,0.16323307220998248,0.1450986045565411,0.16718141366319192,0.6607423283170152,True,False
16,100,0.001,p95_ns,gpu-rows,gpu-predicate,5,-1.7112380169062764,-1.9100142166808618,-1.6063626829479092,0.18064201625613563,0.14807828139882884,0.20061599257104185,0.6881421068218078,True,False
16,100,0.001,p50_ns,gpu-rows,gpu-mask,5,-1.8067492899707664,-1.8790492635863172,-1.7920369273591685,0.1641869945603319,0.15273524771173264,0.16662043005947233,0.6607423283170152,True,False
16,100,0.001,p95_ns,gpu-rows,gpu-mask,5,-1.7374620242664522,-1.9340194306121767,-1.6679130866273026,0.1759664329046469,0.1445659562962554,0.18864033117021822,0.6881421068218078,True,False
16,100,0.001,p50_ns,gpu-predicate,gpu-mask,5,0.012339370034601387,-0.08521544240815458,0.0656886235207412,1.012415814161568,0.9183144192180275,1.0678941482715048,0.6607423283170152,False,False
16,100,0.001,p95_ns,gpu-predicate,gpu-mask,5,-0.024005213931314627,-0.1404096347572759,0.07757208078372914,0.9762806194845454,0.8690021889785357,1.0806601244799845,0.6881421068218078,False,False
16,100,0.001,p50_ns,gpu-rows,cpu,5,-0.3439951982997679,-0.34950058099080095,-0.32226480404671115,0.7089323321218818,0.7050401122423283,0.7245063127225639,0.6607423283170152,False,False
16,100,0.001,p95_ns,gpu-rows,cpu,5,-0.41348813981543275,-0.5908266942658523,-0.31653373052871026,0.6613393779410077,0.5538692149147462,0.7286704327063072,0.6881421068218078,False,False
16,100,0.001,p50_ns,gpu-predicate,cpu,5,1.4685810103372838,1.4459611001435655,1.6015431796643673,4.343067997947827,4.245930947279688,4.960681743928559,0.6607423283170152,False,True
16,100,0.001,p95_ns,gpu-predicate,cpu,5,1.2977498770908436,1.2221948592591245,1.3506278043423496,3.6610495810857335,3.3946302986844645,3.859847999534098,0.6881421068218078,False,True
16,100,0.001,p50_ns,gpu-mask,cpu,5,1.4816413276751035,1.4480417290594005,1.535854556143626,4.4001618646811265,4.254774350713417,4.645293498384579,0.6607423283170152,False,True
16,100,0.001,p95_ns,gpu-mask,cpu,5,1.343192736346324,1.2038272750801562,1.4910374390996255,3.831256189940844,3.3328482711436243,4.4417011239881194,0.6881421068218078,False,True
16,1000,0.01,p50_ns,gpu-rows,gpu-predicate,5,-1.7572835190717788,-1.763867776740515,-1.7099609636586728,0.17251285577224004,0.17138071791243492,0.1808728530937438,0.6607423283170152,True,False
16,1000,0.01,p95_ns,gpu-rows,gpu-predicate,5,-1.7245979575883938,-1.7756964731236642,-1.5576123871962517,0.17824469929802325,0.1693654499285226,0.21063839421268798,0.6881421068218078,True,False
16,1000,0.01,p50_ns,gpu-rows,gpu-mask,5,-1.752519660955155,-1.7700995402845667,-1.681087566737959,0.17333664318566816,0.17031603467505513,0.18617139208400216,0.6607423283170152,True,False
16,1000,0.01,p95_ns,gpu-rows,gpu-mask,5,-1.706973648139567,-1.8294664580329778,-1.6248018461074851,0.18141398523857843,0.16049917798194877,0.19695069788523778,0.6881421068218078,True,False
16,1000,0.01,p50_ns,gpu-predicate,gpu-mask,5,-0.007027277144188534,-0.03283272108573074,0.07619595233381993,0.9929973564317454,0.9677004219264943,1.0791740201077815,0.6607423283170152,False,False
16,1000,0.01,p95_ns,gpu-predicate,gpu-mask,5,-0.06718945891123339,-0.09673354290228522,0.06872282498409713,0.9350180370553465,0.9077978630935014,1.0711392749533077,0.6881421068218078,False,False
16,1000,0.01,p50_ns,gpu-rows,cpu,5,-1.9367024834311006,-1.977882468156283,-1.9103335160523702,0.1441785980833421,0.13836191308330859,0.14803100764428584,0.6607423283170152,True,False
16,1000,0.01,p95_ns,gpu-rows,cpu,5,-1.9170384795421866,-2.1207659231808584,-1.828517662124847,0.1470417851988585,0.11993972870333297,0.16065153120990686,0.6881421068218078,True,False
16,1000,0.01,p50_ns,gpu-predicate,cpu,5,-0.1836284605005893,-0.21481020501590486,-0.17941896435932175,0.8322449582667539,0.8066945322247292,0.835755674195631,0.6607423283170152,False,False
16,1000,0.01,p95_ns,gpu-predicate,cpu,5,-0.20203740362526224,-0.5631535359846066,-0.11259646672444866,0.8170643662013117,0.5694105728048144,0.8935111488571624,0.6881421068218078,False,False
16,1000,0.01,p50_ns,gpu-mask,cpu,5,-0.1945076719993698,-0.2556149166931416,-0.16654866604961163,0.8232398623365903,0.7744401353473657,0.8465816161499762,0.6607423283170152,False,False
16,1000,0.01,p95_ns,gpu-mask,cpu,5,-0.181319291708546,-0.4959640770733731,-0.08757202150920872,0.834168972934086,0.6089835171501717,0.9161528865611772,0.6881421068218078,False,False
16,3000,0.03,p50_ns,gpu-rows,gpu-predicate,5,-0.5096245200830872,-0.7042287220013926,-0.2856956929960338,0.6007210951780885,0.49448981633130196,0.7514912652107584,0.6607423283170152,False,False
16,3000,0.03,p95_ns,gpu-rows,gpu-predicate,5,-0.4058722253929887,-0.545821747551127,-0.1808002790074852,0.6663953103841149,0.5793654954953326,0.8346020295971026,0.6881421068218078,False,False
