engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
faiss-flat,0,54,2636;1291;327;1787;2211;1051;432;4553;313;2606;850;961;341;1997;3566;1911,16,245298,,10,1.0,1.0
faiss-flat,0,55,1193;3310;3726;1467;1879;1101;2212;1837;4809;1173;607;4807;2466;4582;3707;2669,16,229504,,10,1.0,1.0
faiss-flat,0,56,3580;3654;2915;1777;3417;536;845;4354;962;618;471;3079;1013;4678;2954;3550,16,248453,,10,1.0,1.0
faiss-flat,0,57,853;1923;3456;2559;4539;3496;1145;1924;1862;1527;917;1830;1230;1041;1044;1348,16,229114,,10,1.0,1.0
faiss-flat,0,58,2605;1698;4874;4248;1545;3942;2083;348;459;606;1685;3181;1449;814;1865;4818,16,254632,,10,1.0,1.0
faiss-flat,0,59,4385;2851;1541;288;2094;2566;4112;2023;1351;3014;1137;3101;4958;4659;4588;973,16,243685,,10,1.0,1.0
faiss-flat,0,60,49;4551;4875;2234;1514;4500;77;3365;71;1163;2628;2537;4676;1207;1239;1007,16,248813,,10,1.0,1.0
faiss-flat,0,61,4692;2921;4381;2802;115;2981;2617;4936;2520;4319;217;1482;2558;1323;135;1905,16,229825,,10,1.0,1.0
faiss-flat,0,62,4202;1398;151;4116;3328;3414;2021;1899;1289;2920;1015;4872;1017;4819;475;1295,16,242735,,10,1.0,1.0
faiss-flat,0,63,933;1575;2918;2673;1947;1266;1457;1151;2697;2149;1646;1374;4382;2555;4866;1031,16,229204,,10,1.0,1.0
faiss-flat,0,64,4334;4804;2989;1192;3617;1103;4598;1183;1944;238;1361;3388;2590;10;3130;1219,16,242925,,10,1.0,1.0
faiss-flat,0,65,963;232;3888;3472;4164;2017;627;1187;3018;3330;1526;4923;4329;2633;4577;4526,16,229274,,10,1.0,1.0
faiss-flat,0,66,179;3422;3883;1812;2995;3373;2681;2916;1479;3122;2496;3261;3175;1963;3872;1645,16,249264,,10,1.0,1.0
faiss-flat,0,67,1443;718;4199;2506;4062;4243;323;1466;433;466;631;3672;4026;512;2426;2710,16,233521,,10,1.0,1.0
faiss-flat,0,68,1309;4306;3714;2101;3758;2207;3287;2198;4621;494;2951;8;2554;2966;567;1231,16,242844,,10,1.0,1.0
faiss-flat,0,69,553;4585;3352;776;829;1153;4416;3586;4594;3545;2662;1453;1432;3983;502;3274,16,237206,,10,1.0,1.0
faiss-flat,0,70,3386;4542;2417;1699;1961;4956;273;1839;4018;4169;1590;1072;3810;1999;2688;1455,16,249515,,10,1.0,1.0
faiss-flat,0,71,4994;4854;1430;3516;493;1152;4397;2031;3595;1221;2643;2121;4578;1869;3173;4150,16,231988,,10,1.0,1.0
faiss-flat,0,72,3008;3638;1502;2307;201;1175;3666;1395;4873;2256;1225;3813;4430;4431;193;4665,16,335814,,10,1.0,1.0
faiss-flat,0,73,2737;1325;2219;4048;278;4152;4767;3040;3174;4754;891;3235;153;3896;4949;1279,16,264196,,10,1.0,1.0
faiss-flat,0,74,4898;3731;242;4267;1210;4347;1381;1399;1099;3007;1622;1201;1305;1469;617;1278,16,333411,,10,1.0,1.0
faiss-flat,0,75,679;1333;2644;2925;1723;322;3659;1471;1761;640;717;2635;2373;4178;4238;1247,16,279580,,10,1.0,1.0
faiss-flat,0,76,134;3953;490;3986;531;2081;4187;4847;1281;1725;4723;1979;3290;2576;1696;1343,16,271898,,10,1.0,1.0
faiss-flat,0,77,4002;2489;4978;3482;3016;46;2835;3761;239;4570;4305;2651;1818;1821;1555;1577,16,246229,,10,1.0,1.0
faiss-flat,0,78,2251;4537;3051;2150;4011;1901;223;4686;3170;3815;4471;3754;713;1543;133;1518,16,273450,,10,1.0,1.0
faiss-flat,0,79,4614;3336;4559;4359;896;3053;4339;1651;2275;1441;835;3254;811;1929;1227;1935,16,287271,,10,1.0,1.0
faiss-flat,0,80,1181;1174;1789;3162;3001;4979;976;1311;131;4030;1661;1383;687;32;4612;1655,16,255233,,10,1.0,1.0
faiss-flat,0,81,1058;4535;413;2030;4197;86;109;84;590;4888;1643;3526;2873;3540;9;1599,16,231968,,10,1.0,1.0
faiss-flat,0,82,1037;3345;3366;3425;1898;1743;527;2739;23;704;777;2229;2507;3260;1330;1483,16,338988,,10,1.0,1.0
faiss-flat,0,83,4274;3461;2776;4330;3741;4930;1073;1481;1282;994;1574;2807;2175;1421;573;4020,16,277466,,10,1.0,1.0
faiss-flat,0,84,3599;678;3860;1778;4364;1363;4931;4042;841;2029;3483;2046;886;1895;3393;1819,16,339310,,10,1.0,1.0
faiss-flat,0,85,2790;1411;1940;3230;582;4049;741;4233;213;74;2176;4816;496;3026;1714;4506,16,341262,,10,1.0,1.0
faiss-flat,0,86,1649;1985;2209;3344;649;4972;772;4673;4060;2130;2019;1795;3224;1933;1021;1679,16,312229,,10,1.0,1.0
faiss-flat,0,87,395;1635;1373;1681;297;1583;1962;1757;3189;3005;1254;2136;3378;3368;3233;1967,16,326240,,10,1.0,1.0
faiss-flat,0,88,4856;4709;1059;3353;2457;1290;1487;92;4218;1623;3061;1550;946;1639;2118;3716,16,333200,,10,1.0,1.0
faiss-flat,0,89,1571;2133;677;3187;4643;3418;1485;2676;3712;2813;2261;1404;3641;2397;4722;2047,16,329795,,10,1.0,1.0
faiss-flat,0,90,2286;2110;3160;4175;1136;1576;3513;4651;2306;2317;623;1595;189;1463;2421;4916,16,333671,,10,1.0,1.0
faiss-flat,0,91,3050;2155;285;3821;2433;1376;299;3777;793;1779;3136;2738;4286;394;3940;1633,16,247491,,10,1.0,1.0
faiss-flat,0,92,2663;2203;4046;2654;4868;118;4168;3665;491;2432;4477;3544;2241;3302;918;2405,16,255633,,10,1.0,1.0
faiss-flat,0,93,3006;2270;869;3281;4361;1561;79;2387;947;914;2849;1781;1703;2165;4945;1615,16,233250,,10,1.0,1.0
faiss-flat,0,94,3949;1114;2854;2599;760;4155;1447;372;4389;2005;3075;2787;4601;2953;1589;2985,16,250546,,10,1.0,1.0
faiss-flat,0,95,4593;2939;2971;2059;4270;3934;2523;2837;4740;3465;2957;4022;4914;3565;2299;4920,16,233260,,10,1.0,1.0
faiss-flat,0,96,3616;2459;3413;2214;1601;4308;4716;1664;1301;1921;4051;2313;1435;2163;4450;2334,16,246720,,10,1.0,1.0
faiss-flat,0,97,3890;2173;1106;4106;3833;2573;4773;3481;1783;3705;1357;3099;1883;1744;1102;2943,16,230466,,10,1.0,1.0
faiss-flat,0,98,259;4894;215;2335;47;4705;3900;2745;4629;2531;2127;2712;554;1258;2129;3029,16,247832,,10,1.0,1.0
faiss-flat,0,99,4759;3062;2025;3853;2765;4974;13;2079;981;1024;3059;3104;3086;1796;3480;3515,16,236125,,10,1.0,1.0
faiss-flat,0,100,899;4763;4581;2911;2393;3410;485;4967;2061;3424;975;2629;291;1853;3788;2752,16,249094,,10,1.0,1.0
faiss-flat,0,101,2259;1749;2720;4392;1827;2035;3298;1092;4926;2323;3938;3977;2069;3757;1019;2007,16,231497,,10,1.0,1.0
faiss-flat,0,102,2665;3415;3179;2435;4558;1086;2077;4516;4494;2569;3133;2039;3662;3615;1303;4177,16,247572,,10,1.0,1.0
faiss-flat,0,103,1005;4966;865;2853;473;2033;69;2170;111;170;1049;3531;737;2099;1043;1759,16,230466,,10,1.0,1.0
faiss-flat,0,104,3579;142;2153;960;823;3201;1959;2975;1598;4917;959;2415;3446;4605;3628;1977,16,245028,,10,1.0,1.0
faiss-flat,0,105,339;2863;3574;4672;173;2;1159;2563;89;986;4083;3449;1955;2741;277;2685,16,227932,,10,1.0,1.0
faiss-flat,0,106,4947;256;3245;1975;3438;4766;661;1755;3706;2518;1139;3749;2725;856;340;4080,16,243495,,10,1.0,1.0
faiss-flat,0,107,2601;4213;2922;2976;4146;530;3447;3491;970;1811;1857;2456;3158;4732;758;1782,16,227911,,10,1.0,1.0
faiss-flat,0,108,4117;1382;3849;3901;3962;2231;381;4569;820;598;464;4086;481;980;305;2891,16,243735,,10,1.0,1.0
faiss-flat,0,109,1735;4081;2910;3492;1807;2078;4299;2363;2141;2836;2058;4069;4733;4980;366;4976,16,227662,,10,1.0,1.0
faiss-flat,0,110,2377;1931;728;4239;409;2233;2291;3611;3926;2073;4877;3596;3165;2137;347;2783,16,248162,,10,1.0,1.0
faiss-flat,0,111,349;3875;2840;3587;1658;4043;1823;1855;3868;4110;4222;4211;515;782;3109;2956,16,225669,,10,1.0,1.0
faiss-flat,0,112,1813;4195;241;2547;2567;1654;3684;52;1767;2154;2003;4779;2067;4321;1297;2463,16,355393,,10,1.0,1.0
faiss-flat,0,113,2134;1480;406;1080;3349;880;3146;3094;2661;2825;1816;2947;3633;3778;4954;3263,16,247100,,10,1.0,1.0
faiss-flat,0,114,689;3780;4017;4939;1039;2469;2249;2675;240;3713;2848;1204;2889;2983;673;2395,16,249635,,10,1.0,1.0
faiss-flat,0,115,4748;3643;581;2597;3704;3214;4952;3682;942;3316;2717;3401;129;4934;4478;2162,16,232229,,10,1.0,1.0
faiss-flat,0,116,407;904;1875;2002;763;3771;3767;2166;4070;4149;311;3443;1182;2049;2088;4358,16,257316,,10,1.0,1.0
faiss-flat,0,117,2011;282;2147;1528;2422;338;851;1903;2824;1880;911;4632;1253;738;1262;3169,16,235233,,10,1.0,1.0
faiss-flat,0,118,3395;2744;3542;2343;779;4484;1459;4567;3370;4294;11;2575;3561;4008;2015;2740,16,246921,,10,1.0,1.0
faiss-flat,0,119,1454;3911;3650;2385;4630;2679;4892;3063;736;1927;159;3102;3856;4726;2375;2964,16,228843,,10,1.0,1.0
faiss-flat,0,120,4848;2562;1809;4085;2177;2311;398;2495;1592;2625;1943;4174;727;2595;3965;2550,16,252959,,10,1.0,1.0
faiss-flat,0,121,1711;230;1284;88;2909;2499;1969;3239;177;2066;2847;3835;3846;1512;209;2655,16,229715,,10,1.0,1.0
faiss-flat,0,122,2645;396;2726;2063;3861;1060;4273;4633;2800;2194;2902;1248;3981;4210;3024;1983,16,248483,,10,1.0,1.0
faiss-flat,0,123,4777;2197;4064;3722;2811;1242;2936;1596;1503;2955;768;4751;1477;3106;1607;2647,16,233671,,10,1.0,1.0
faiss-flat,0,124,355;4501;1267;4928;4071;3554;2763;948;922;2097;4836;4408;247;146;3880;1980,16,248062,,10,1.0,1.0
faiss-flat,0,125,2237;4756;2895;2660;1403;3885;3610;2607;229;4115;3341;3019;3969;4744;1235;2822,16,229735,,10,1.0,1.0
faiss-flat,0,126,1847;1286;4508;4515;4033;2501;5;2747;795;2864;2085;2103;3646;1014;4053;2821,16,252589,,10,1.0,1.0
faiss-flat,0,127,3437;3448;2243;168;690;3886;187;1108;4019;2885;2285;2071;1245;4822;1957;2098,16,282454,,10,1.0,1.0
faiss-flat,0,128,3494;4304;855;4296;3772;2075;2694;2279;599;1062;3221;2278;1695;2381;114;1884,16,253099,,10,1.0,1.0
faiss-flat,0,129,4908;2826;4691;744;33;3984;2659;2191;1307;3991;587;3240;139;4504;1462;4010,16,234773,,10,1.0,1.0
faiss-flat,0,130,4753;3087;4864;4589;1089;4360;4260;2991;385;3027;3557;2321;4394;4084;3631;2819,16,321643,,10,1.0,1.0
faiss-flat,0,131,3978;1200;2968;4528;1238;3435;2407;1892;2245;4337;3858;3117;6;4684;3597;2167,16,284136,,10,1.0,1.0
faiss-flat,0,132,1939;1322;2984;2481;123;2359;2208;228;2158;2326;2667;1392;154;4545;1321;4118,16,251408,,10,1.0,1.0
faiss-flat,0,133,1773;2416;4656;3409;4694;750;2057;4855;3747;3571;1255;2691;3710;2993;3790;2760,16,232328,,10,1.0,1.0
faiss-flat,0,134,1285;1250;3348;132;1131;286;4422;1012;3489;4131;3867;1808;175;2370;859;2577,16,246019,,10,1.0,1.0
faiss-flat,0,135,3639;3151;3834;2268;4133;4615;4983;2794;1069;4560;4878;3025;419;2366;3699;4918,16,234942,,10,1.0,1.0
faiss-flat,0,136,4196;4435;1771;2987;753;670;2833;2361;1736;334;2013;4275;695;2584;982;3674,16,244967,,10,1.0,1.0
faiss-flat,0,137,4023;3603;4130;2743;549;3139;3112;3207;1973;3334;3679;3070;4102;2539;3765;2263,16,265969,,10,1.0,1.0
faiss-flat,0,138,2913;3499;235;1476;3652;4398;2053;3441;105;2253;4765;248;3055;3690;1697;3439,16,283095,,10,1.0,1.0
faiss-flat,0,139,343;4417;3331;4770;447;2941;839;3137;326;3241;1709;3715;424;4961;449;3931,16,250325,,10,1.0,1.0
faiss-flat,0,140,927;4706;2746;4600;3823;1224;608;2378;1981;3454;1249;3663;1215;3154;742;4887,16,267592,,10,1.0,1.0
