block,engine,E,heater,p50,p95,sel,score,mat,backend,clk_med,mem_med,clk_active,mem_active,active_samples,high_state,recall,started
4,gpu-predicate,10000,0,2.2086,2.7068,0.940384,0.195168,0.0,2.0834,2670.0,8201.0,2670,8201,619,0.8053191489361702,1.0,1790350318.5215328
4,gpu-predicate,10000,1,2.3393,2.8098,1.120768,0.207744,0.0,2.2557,2670,8201,2670.0,8201.0,1200,0.652029826014913,1.0,1790351694.4752593
4,gpu-predicate,3000,0,2.0681,2.3871,0.952,0.140192,0.0,2.038,2670.0,7001.0,2670.0,7001.0,586,0.9581151832460733,1.0,1790350504.241444
4,gpu-predicate,3000,1,2.2537,2.7,1.129376,0.140416,0.0,2.20465,2670.0,8201.0,2670,8201,813,0.9121951219512195,1.0,1790351568.9676766
4,gpu-predicate,30000,0,2.772,3.7375,0.991456,0.44912,0.0,2.4267,210.0,405.0,2670.0,8201.0,760,0.44769085768143263,1.0,1790351170.303171
4,gpu-predicate,30000,1,2.8217,3.2809,0.993792,0.457952,0.0,2.5956,210.0,405.0,210,405,2185,0.4406934306569343,1.0,1790350561.2810588
4,gpu-rows,100,0,0.3105,0.4755,0.018432,0.005152,0.0052,0.2653,2130,8201,2130,8201,93,1.0,1.0,1790351677.2128432
4,gpu-rows,100,1,0.2532,0.4027,0.016512,0.004928,0.0047,0.2554,2130,8201,2130,8201,131,1.0,1.0,1790351625.7725935
4,gpu-rows,1000,0,0.2301,0.4171,0.029504,0.008416,0.0188,0.2057,2130.0,8201.0,2130,8201,85,1.0,1.0,1790350304.0261436
4,gpu-rows,1000,1,0.3743,0.5365,0.029664,0.00832,0.0343,0.3252,2130.0,8201.0,2130,8201,187,1.0,1.0,1790352370.4852502
4,gpu-rows,10000,0,2.1325,2.8757,0.594976,0.188192,0.75945,1.37295,405.0,405.0,420,810,591,0.17173524150268335,1.0,1790351924.8599215
4,gpu-rows,10000,1,1.6878,2.1819,0.230592,0.068896,0.7253,0.9243,1230.0,8201.0,1215,8201,1053,0.5981132075471698,1.0,1790352097.8879998
4,gpu-rows,3000,0,0.5479,0.6485,0.10592,0.027264,0.094,0.4409,2130,7001,1080,7001,153,0.7542087542087542,1.0,1790350701.2639441
4,gpu-rows,3000,1,0.5234,0.7418,0.068768,0.018272,0.0953,0.41785,2130,8201,1912.5,8201.0,336,0.9300291545189504,1.0,1790351145.3342109
4,gpu-rows,30000,0,2.7206,3.4324,0.722592,0.303648,0.9272,1.79335,210,405,1080.0,8201.0,762,0.3143643873336393,1.0,1790350981.8855107
4,gpu-rows,30000,1,2.5165,3.0082,0.426848,0.271872,0.9237,1.5542,210.0,405.0,210,405,2169,0.40625,1.0,1790352169.3393211
