comparison,engine,E,metric,n,ratio,lo,hi,per_block
rows/predicate heater=0,gpu-rows,10000,p95,5,0.9671624572535125,0.7667068244631848,1.236176386448159,"[1.236, 0.767, 0.825, 0.967, 1.062]"
rows/cpu heater=1,gpu-rows,10000,p50,5,0.4935101056925644,0.35596018680126423,0.6428380698073621,"[0.494, 0.356, 0.643, 0.591, 0.388]"
rows/predicate heater=1,gpu-rows,10000,p50,5,0.6993691899070384,0.6198710313385634,0.8971852351255688,"[0.897, 0.62, 0.699, 0.683, 0.721]"
rows/cpu heater=1,gpu-rows,10000,p95,5,0.5841966034611579,0.3716022889842633,0.6684349380159428,"[0.584, 0.476, 0.668, 0.602, 0.372]"
rows/predicate heater=1,gpu-rows,10000,p95,5,0.804378295401455,0.7765321375186847,1.1149221519963002,"[1.115, 0.804, 0.782, 0.821, 0.777]"
rows/cpu heater=0,gpu-rows,30000,p50,5,0.2912611338748465,0.24652241112828438,0.39161816879008726,"[0.392, 0.291, 0.343, 0.247, 0.277]"
rows/predicate heater=0,gpu-rows,30000,p50,5,0.8115594094883187,0.7456408891255158,0.9965041138458279,"[0.746, 0.997, 0.8, 0.812, 0.981]"
rows/cpu heater=0,gpu-rows,30000,p95,5,0.2641323585994613,0.25128581925055105,0.37183311685531184,"[0.372, 0.251, 0.352, 0.264, 0.264]"
rows/predicate heater=0,gpu-rows,30000,p95,5,0.8633190570937174,0.6647528643241727,0.9376421863151141,"[0.665, 0.938, 0.863, 0.841, 0.918]"
rows/cpu heater=1,gpu-rows,30000,p50,5,0.2633589384013228,0.2022069403510861,0.3426101451170087,"[0.214, 0.291, 0.202, 0.343, 0.263]"
rows/predicate heater=1,gpu-rows,30000,p50,5,0.7297306976077925,0.663234290676757,0.9024490831800013,"[0.663, 0.902, 0.73, 0.692, 0.892]"
rows/cpu heater=1,gpu-rows,30000,p95,5,0.23326612903225805,0.17806232327819854,0.39998558038932946,"[0.193, 0.342, 0.178, 0.4, 0.233]"
rows/predicate heater=1,gpu-rows,30000,p95,5,0.7939947332264713,0.6032902908298375,1.1449171636845594,"[0.603, 1.145, 0.767, 0.794, 0.917]"
