run,batch_index,query_indices,query_count,batch_latency_ns,recall_at_10,result_ids
0,39,45,1,333984,1.0,"[[""954"", ""920"", ""126"", ""680"", ""441"", ""151"", ""327"", ""105"", ""878"", ""828""]]"
0,40,54,1,334947,1.0,"[[""239"", ""228"", ""936"", ""998"", ""695"", ""793"", ""188"", ""676"", ""112"", ""952""]]"
0,41,18,1,330218,1.0,"[[""215"", ""748"", ""826"", ""103"", ""656"", ""592"", ""14"", ""182"", ""169"", ""638""]]"
0,42,10,1,335868,1.0,"[[""661"", ""515"", ""941"", ""47"", ""972"", ""559"", ""15"", ""767"", ""357"", ""761""]]"
0,43,51,1,335207,1.0,"[[""794"", ""739"", ""711"", ""824"", ""671"", ""890"", ""718"", ""134"", ""620"", ""435""]]"
0,44,0,1,329246,1.0,"[[""164"", ""633"", ""144"", ""547"", ""173"", ""917"", ""608"", ""58"", ""438"", ""163""]]"
0,45,47,1,335147,1.0,"[[""451"", ""867"", ""383"", ""111"", ""362"", ""108"", ""653"", ""481"", ""127"", ""924""]]"
0,46,5,1,328455,1.0,"[[""868"", ""698"", ""645"", ""196"", ""281"", ""133"", ""526"", ""559"", ""741"", ""839""]]"
0,47,63,1,330619,1.0,"[[""878"", ""594"", ""782"", ""9"", ""84"", ""761"", ""621"", ""372"", ""94"", ""355""]]"
0,48,38,1,336059,1.0,"[[""900"", ""517"", ""7"", ""161"", ""377"", ""579"", ""153"", ""88"", ""232"", ""485""]]"
0,49,48,1,325719,1.0,"[[""401"", ""169"", ""534"", ""11"", ""413"", ""349"", ""363"", ""94"", ""320"", ""73""]]"
0,50,52,1,341559,1.0,"[[""359"", ""695"", ""254"", ""659"", ""217"", ""944"", ""153"", ""134"", ""911"", ""143""]]"
0,51,20,1,331210,1.0,"[[""171"", ""681"", ""230"", ""951"", ""344"", ""875"", ""586"", ""408"", ""158"", ""622""]]"
0,52,58,1,339836,1.0,"[[""102"", ""129"", ""971"", ""746"", ""452"", ""660"", ""322"", ""740"", ""197"", ""979""]]"
0,53,61,1,329536,1.0,"[[""490"", ""978"", ""302"", ""147"", ""503"", ""87"", ""60"", ""709"", ""501"", ""481""]]"
0,54,6,1,329266,1.0,"[[""612"", ""762"", ""856"", ""681"", ""32"", ""415"", ""256"", ""578"", ""139"", ""652""]]"
0,55,59,1,333995,1.0,"[[""121"", ""541"", ""69"", ""99"", ""411"", ""293"", ""307"", ""647"", ""38"", ""971""]]"
0,56,57,1,331910,1.0,"[[""13"", ""685"", ""947"", ""595"", ""848"", ""310"", ""723"", ""43"", ""688"", ""187""]]"
0,57,62,1,328484,1.0,"[[""699"", ""896"", ""944"", ""51"", ""892"", ""875"", ""70"", ""118"", ""558"", ""687""]]"
0,58,40,1,345807,1.0,"[[""971"", ""159"", ""887"", ""645"", ""497"", ""723"", ""982"", ""915"", ""359"", ""999""]]"
0,59,28,1,336259,1.0,"[[""606"", ""683"", ""722"", ""309"", ""231"", ""748"", ""861"", ""369"", ""585"", ""979""]]"
0,60,42,1,333534,1.0,"[[""669"", ""839"", ""417"", ""31"", ""564"", ""380"", ""531"", ""900"", ""300"", ""214""]]"
0,61,26,1,329717,1.0,"[[""820"", ""589"", ""467"", ""96"", ""6"", ""205"", ""876"", ""559"", ""605"", ""597""]]"
0,62,36,1,330348,1.0,"[[""391"", ""381"", ""86"", ""504"", ""656"", ""469"", ""770"", ""539"", ""562"", ""802""]]"
0,63,4,1,336730,1.0,"[[""826"", ""514"", ""181"", ""336"", ""347"", ""362"", ""474"", ""524"", ""156"", ""465""]]"
1,0,16,1,344545,1.0,"[[""309"", ""916"", ""187"", ""490"", ""10"", ""935"", ""29"", ""510"", ""619"", ""441""]]"
1,1,14,1,346578,1.0,"[[""553"", ""995"", ""994"", ""734"", ""716"", ""846"", ""845"", ""280"", ""459"", ""334""]]"
1,2,4,1,359031,1.0,"[[""826"", ""514"", ""181"", ""336"", ""347"", ""362"", ""474"", ""524"", ""156"", ""465""]]"
1,3,36,1,346519,1.0,"[[""391"", ""381"", ""86"", ""504"", ""656"", ""469"", ""770"", ""539"", ""562"", ""802""]]"
1,4,26,1,341468,1.0,"[[""820"", ""589"", ""467"", ""96"", ""6"", ""205"", ""876"", ""559"", ""605"", ""597""]]"
1,5,30,1,342621,1.0,"[[""68"", ""533"", ""344"", ""788"", ""179"", ""634"", ""853"", ""364"", ""25"", ""713""]]"
1,6,3,1,340577,1.0,"[[""695"", ""49"", ""52"", ""459"", ""93"", ""805"", ""671"", ""25"", ""168"", ""672""]]"
1,7,32,1,343071,1.0,"[[""858"", ""335"", ""402"", ""301"", ""758"", ""765"", ""209"", ""596"", ""946"", ""549""]]"
1,8,15,1,334296,1.0,"[[""836"", ""458"", ""566"", ""798"", ""778"", ""421"", ""595"", ""43"", ""324"", ""467""]]"
1,9,10,1,336048,1.0,"[[""661"", ""515"", ""941"", ""47"", ""972"", ""559"", ""15"", ""767"", ""357"", ""761""]]"
1,10,38,1,331630,1.0,"[[""900"", ""517"", ""7"", ""161"", ""377"", ""579"", ""153"", ""88"", ""232"", ""485""]]"
1,11,24,1,334065,1.0,"[[""134"", ""355"", ""860"", ""389"", ""167"", ""809"", ""305"", ""185"", ""358"", ""400""]]"
1,12,59,1,334505,1.0,"[[""121"", ""541"", ""69"", ""99"", ""411"", ""293"", ""307"", ""647"", ""38"", ""971""]]"
1,13,54,1,331069,1.0,"[[""239"", ""228"", ""936"", ""998"", ""695"", ""793"", ""188"", ""676"", ""112"", ""952""]]"
1,14,2,1,493623,1.0,"[[""108"", ""567"", ""935"", ""821"", ""699"", ""500"", ""937"", ""356"", ""329"", ""927""]]"
1,15,34,1,348742,1.0,"[[""156"", ""682"", ""952"", ""641"", ""550"", ""343"", ""593"", ""981"", ""416"", ""885""]]"
1,16,0,1,350485,1.0,"[[""164"", ""633"", ""144"", ""547"", ""173"", ""917"", ""608"", ""58"", ""438"", ""163""]]"
1,17,50,1,332001,1.0,"[[""472"", ""611"", ""479"", ""9"", ""410"", ""657"", ""533"", ""414"", ""702"", ""88""]]"
1,18,29,1,332492,1.0,"[[""540"", ""13"", ""242"", ""0"", ""527"", ""517"", ""324"", ""637"", ""713"", ""225""]]"
1,19,13,1,331951,1.0,"[[""328"", ""411"", ""104"", ""546"", ""765"", ""809"", ""117"", ""853"", ""783"", ""820""]]"
1,20,52,1,332592,1.0,"[[""359"", ""695"", ""254"", ""659"", ""217"", ""944"", ""153"", ""134"", ""911"", ""143""]]"
1,21,55,1,334236,1.0,"[[""621"", ""486"", ""10"", ""859"", ""410"", ""625"", ""450"", ""128"", ""411"", ""328""]]"
1,22,18,1,344976,1.0,"[[""215"", ""748"", ""826"", ""103"", ""656"", ""592"", ""14"", ""182"", ""169"", ""638""]]"
1,23,31,1,337071,1.0,"[[""772"", ""689"", ""427"", ""845"", ""830"", ""342"", ""117"", ""551"", ""887"", ""382""]]"
1,24,12,1,339545,1.0,"[[""524"", ""663"", ""487"", ""230"", ""349"", ""324"", ""841"", ""712"", ""925"", ""327""]]"
1,25,7,1,336038,1.0,"[[""516"", ""930"", ""745"", ""405"", ""928"", ""828"", ""990"", ""862"", ""946"", ""836""]]"
1,26,40,1,345937,1.0,"[[""971"", ""159"", ""887"", ""645"", ""497"", ""723"", ""982"", ""915"", ""359"", ""999""]]"
