host,engine,E,sel_ms,score_ms,p50_ms
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,30000,0.664128,0.043264,0.894052
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,100,0.017568,0.005312,0.088856
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,1000,0.028224,0.005472,0.109265
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,10000,0.1304,0.00976,0.3730125
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,3000,0.050656,0.005952,0.162534
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,30000,0.315168,0.018336,0.735466
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,100,0.684448,0.023904,1.0039305
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,1000,0.688896,0.024704,0.959755
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,10000,0.679104,0.033632,0.9524905
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,3000,0.690656,0.026848,1.175792
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,30000,0.658912,0.044384,1.3004925
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,100,0.017888,0.007584,0.145081
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,1000,0.036096,0.009856,0.207017
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,10000,0.213824,0.019232,0.651564
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,3000,0.148704,0.018976,0.477653
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,30000,0.606912,0.044864,1.6949555
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,100,0.644128,0.021728,0.777695
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,1000,0.650432,0.022752,0.786782
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,10000,0.643392,0.031904,0.809464
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,3000,0.651584,0.024992,0.7945405
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,30000,0.618784,0.042496,0.845121
