phase,cell,batch,eligible,block,engine,n_samples,started_unix,elapsed_s,clk_before_mhz,clk_end_mhz,temp_end_c,power_end_w,lat_p50_ns,lat_p95_ns,device_selection_med_ns,device_scoring_med_ns,backend_execution_med_ns,row_materialization_med_ns,upload_enqueue_med_ns,readback_completion_med_ns,device_total_med_ns
e2,b1-e1000,1,1000,2,gpu-mask,15000,1790248807.069458,22.179133653640747,210.0,2745.0,30.0,82.2,1048817,1109337,710816.0,22240.0,981576.5,58094.5,49810.0,818497.5,732928.0
e2,b1-e1000,1,1000,3,cpu,15000,1790248947.9055076,6.017400026321411,210.0,210.0,25.0,13.58,109739,117479,,,107189.0,,,,
e2,b1-e1000,1,1000,3,gpu-rows,15000,1790248983.9527206,10.263581991195679,210.0,690.0,25.0,25.73,338768,377498,64640.0,10368.0,271009.0,57864.5,16210.0,169024.0,75104.0
e2,b1-e1000,1,1000,3,gpu-predicate,15000,1790249076.6033595,22.437743425369263,210.0,2745.0,30.0,83.27,1047478,1135019,710848.0,23744.0,979513.5,58480.0,49700.0,820789.0,734496.0
e2,b1-e1000,1,1000,3,gpu-mask,15000,1790249024.25599,22.307610034942627,210.0,2745.0,29.0,82.87,1057199,1117459,710816.0,22240.0,989539.0,58494.5,48850.0,818459.0,732992.0
e2,b1-e1000,1,1000,4,cpu,15000,1790249274.1461728,6.261099338531494,210.0,210.0,25.0,15.06,112470,160240,,,109770.0,,,,
e2,b1-e1000,1,1000,4,gpu-rows,15000,1790249234.1547308,9.950186014175415,210.0,765.0,26.0,27.62,285520,368810,51008.0,8480.0,233295.0,45375.0,13450.0,145510.0,59376.0
e2,b1-e1000,1,1000,4,gpu-predicate,15000,1790249181.5681186,22.557410955429077,210.0,2745.0,30.0,82.51,1059588,1111109,710816.0,23744.0,990408.0,60200.0,54544.5,820219.0,734464.0
e2,b1-e1000,1,1000,4,gpu-mask,15000,1790249129.081888,22.445708513259888,210.0,2745.0,30.0,81.82,1063909,1143938,710848.0,22240.0,994029.0,60210.0,51155.0,819709.0,732992.0
e2,b1-e10000,1,10000,0,cpu,15000,1790250667.2326891,108.27943301200867,210.0,210.0,24.0,15.05,4214034,4766233,,,4204893.5,,,,
e2,b1-e10000,1,10000,0,gpu-rows,15000,1790250377.962016,62.74406027793884,210.0,555.0,24.0,17.45,1377038,1743447,421952.0,28096.0,714733.5,658204.0,27290.0,561994.0,450144.0
e2,b1-e10000,1,10000,0,gpu-predicate,15000,1790250470.7469501,67.74266338348389,210.0,2745.0,29.0,77.47,1687717,2026547,702656.0,33184.0,993938.5,673694.0,51820.0,822789.0,735776.0
e2,b1-e10000,1,10000,0,gpu-mask,15000,1790250568.529452,68.66517519950867,210.0,2745.0,30.0,77.75,1733138,2034426,702656.0,32000.0,1030268.5,683919.0,55660.0,824658.0,734560.0
e2,b1-e10000,1,10000,1,cpu,15000,1790250805.5526137,113.82965111732483,210.0,210.0,23.0,13.31,4247793,6663410,,,4239413.0,,,,
e2,b1-e10000,1,10000,1,gpu-rows,15000,1790251048.1624534,58.893105268478394,210.0,720.0,25.0,26.64,1099519,1576537,336704.0,21792.0,580549.0,507874.0,21380.0,447684.5,358816.0
e2,b1-e10000,1,10000,1,gpu-predicate,15000,1790250949.4237735,68.69753074645996,210.0,2745.0,29.0,77.79,1670928,2119347,702656.0,33184.0,992608.0,658519.0,49260.0,823723.5,735744.0
e2,b1-e10000,1,10000,1,gpu-mask,15000,1790251137.0969677,66.98786425590515,210.0,2745.0,29.0,78.92,1741208,1882717,702624.0,32000.0,1031279.0,688239.0,54770.0,831354.0,734528.0
e2,b1-e10000,1,10000,2,cpu,15000,1790251426.9769983,107.83291983604431,210.0,210.0,24.0,13.96,4194194,4919713,,,4185129.0,,,,
e2,b1-e10000,1,10000,2,gpu-rows,15000,1790251564.84077,62.9456262588501,210.0,630.0,24.0,25.54,1467318,1794978,450944.0,29920.0,778778.5,663249.0,30350.0,596219.0,480896.0
e2,b1-e10000,1,10000,2,gpu-predicate,15000,1790251234.1240952,67.01446628570557,210.0,2745.0,30.0,78.02,1709677,1827477,702624.0,33184.0,1007858.0,682379.0,56070.0,826469.0,735712.0
